,Unnamed: 0,english,russian
0,0,you,ты
1,1,I or I.,Я или I.
2,2,to,к
3,3,the,то
4,4,a or A.,А или А.
5,5,and,а также
6,6,that,что
7,7,it,Это
8,8,of,из
9,9,me,меня
10,10,what,какие
11,11,is,является
12,12,in,в
13,13,this,это
14,14,know,знать
15,15,I'm,я
16,16,for,для
17,17,no,нет
18,18,have,имеют
19,19,my,мой
20,20,don't,нет
21,21,just,просто
22,22,not,нет
23,23,do,делать
24,24,be,быть
25,25,on,на
26,26,your,ваш
27,27,we,мы
28,28,it's,это
29,29,so,так
30,30,but,но
31,31,all,все
32,32,well,хорошо
33,33,are,находятся
34,34,he,он
35,35,oh,ой
36,36,about,о
37,37,right,Правильно
38,39,here,здесь
39,40,out,из
40,41,like,нравиться
41,42,yeah,Ага
42,43,if,если
43,44,she,она
44,45,can,жестяная банка
45,46,up,вверх
46,47,want,хотеть
47,48,think,считать
48,49,that's,это
49,50,now,Теперь
50,51,go,идти
51,52,at,в
52,53,how,как
53,54,there,там
54,55,one,один
55,56,did,делал
56,57,why,Почему
57,58,see,видеть
58,59,come,прийти
59,60,good,хороший
60,61,they,Oни
61,62,really,В самом деле
62,63,as,в качестве
63,64,would,бы
64,65,look,Смотреть
65,66,when,когда
66,67,time,время
67,68,will,буду
68,69,okay,Ладно
69,70,can't,неверно
70,71,mean,иметь в виду
71,73,I'll,Больной
72,74,from,из
73,75,hey,Привет
74,76,were,мы
75,77,he's,он
76,78,could,мог
77,79,didn't,не
78,80,yes,да
79,81,his,его
80,82,been,был
81,83,or,или
82,84,something,что-то
83,85,who,кто
84,86,because,потому что
85,87,some,некоторые
86,88,had,было
87,89,then,тогда
88,90,say,сказать
89,91,ok,Ok
90,92,take,брать
91,93,an,ан.
92,94,way,способ
93,95,us,нас
94,96,make,делать
95,97,need,необходимость
96,98,never,никогда
97,99,we're,были
98,100,too,тоже
99,101,she's,она
100,102,sure,Конечно
101,103,more,более
102,104,over,над
103,105,our,наш
104,106,sorry,извиняюсь
105,107,where,куда
106,108,what's,что
107,109,let,позволять
108,110,thing,вещь
109,111,am,являюсь
110,112,maybe,может быть
111,113,down,вниз
112,114,man,человек
113,116,uh,Эм-м-м
114,117,there's,есть
115,118,should,должен
116,119,anything,что-нибудь
117,120,much,много
118,121,life,жизнь
119,122,even,даже
120,123,off,выключенный
121,124,please,пожалуйста
122,125,doing,делает
123,126,thank,благодарить
124,127,give,давать
125,128,only,Только
126,129,thought,подумал
127,130,help,помощь
128,131,two,два
129,132,talk,разговаривать
130,133,people,люди
131,134,god,Бог
132,135,still,еще
133,136,wait,ждать
134,137,into,в
135,138,find,найти
136,139,nothing,ничего такого
137,140,again,опять таки
138,141,things,вещи
139,142,let's,Давайте
140,143,doesn't,нет
141,144,call,вызов
142,145,told,сказал
143,146,before,до
144,147,better,лучше
145,148,ever,Когда-либо
146,149,night,ночь
147,151,away,прочь
148,152,first,первый
149,153,believe,полагать
150,154,other,Другие
151,155,feel,Чувствовать
152,156,everything,все
153,158,fine,отлично
154,159,home,дом
155,160,after,после
156,161,last,последний
157,162,these,эти
158,163,day,день
159,164,keep,хранить
160,165,does,делает
161,166,put,положил
162,167,around,около
163,168,stop,останавливаться
164,169,they're,они
165,170,I'd,Идентификатор
166,171,guy,парень
167,172,long,длинный
168,173,isn't,нет
169,174,always,всегда
170,175,listen,Слушать
171,176,wanted,хотел
172,177,Mr.,Мистер.
173,178,guys,ребята
174,179,huh,Хм
175,180,those,те
176,181,big,большой
177,182,lot,много
178,183,happened,произошло
179,184,thanks,Благодарность
180,185,won't,нет
181,186,trying,пытающийся
182,187,kind,Добрый
183,188,wrong,неправильный
184,189,through,через
185,190,talking,разговор
186,191,made,сделал
187,192,new,новый
188,193,guess,Угадай
189,194,hi,Привет
190,195,care,уход
191,196,bad,плохой
192,197,remember,помнить
193,198,getting,получающий
194,199,we'll,хорошо
195,201,dad,папа
196,202,leave,оставлять
197,203,mother,мать
198,204,understand,понимать
199,205,wouldn't,не будет
200,206,actually,на самом деле
201,207,hear,слышать
202,208,baby,детка
203,209,nice,отлично
204,210,else,еще
205,211,stay,оставаться
206,212,done,сделано
207,213,wasn't,не было
208,214,their,их
209,215,course,курс
210,216,might,мог бы
211,217,mind,разум
212,218,every,каждый
213,219,try,пытаться
214,220,hell,ад
215,221,came,пришел
216,222,someone,кто-то
217,223,you'll,Вы будете
218,224,own,собственный
219,225,family,семья
220,226,whole,весь
221,227,another,Другая
222,228,house or House,дом или дом
223,229,Jack or jack,Джек или Джек
224,230,yourself,сам
225,231,idea,идея
226,232,ask,просить
227,233,best,Лучший
228,234,must,должен
229,235,coming,приходящий
230,236,old,Старый
231,237,looking,смотрящий
232,238,woman,женщина
233,239,hello,Привет
234,240,which,который
235,241,years,годы
236,242,room,комната
237,243,money,Деньги
238,244,knew,знал
239,245,tonight,сегодня ночью
240,246,real,настоящий
241,247,son,сын
242,248,hope,надеяться
243,249,name,имя
244,250,same,тем же
245,251,went,пошел
246,252,um,ими
247,253,hmm,Хм
248,254,happy,счастливый
249,255,pretty,хорошенький
250,256,saw,пила
251,257,girl,девочка
252,258,sir,сэр
253,259,show,Показать
254,260,friend,друг
255,261,already,уже
256,262,saying,говорить
257,263,may or May,Май или май
258,264,next,следующий
259,265,three,три
260,266,job,работа
261,267,problem,проблема
262,268,minute,минута
263,269,found,нашел
264,270,world,Мир
265,271,thinking,думать
266,272,haven't,не
267,273,heard,слышал
268,274,honey,медовый
